id,separationtype,cease_date,dete_start_date,role_start_date,position,classification,region,business_unit,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,dissatisfaction_with_the_department,physical_work_environment,lack_of_recognition,lack_of_job_security,work_location,employment_conditions,maternity/family,relocation,study/travel,ill_health,traumatic_incident,work_life_balance,workload,none_of_the_above,gender,age,aboriginal,torres_strait,south_sea,disability,nesb
621,Age Retirement,08/2013,1984.0,1994.0,Public Servant,A01-A04,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
622,Resignation-Other reasons,06/2013,1983.0,2012.0,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,51-55,,,,,
623,Age Retirement,06/2013,2001.0,2008.0,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
624,Resignation-Move overseas/interstate,07/2013,2004.0,2007.0,Teacher,Special Education,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,
625,Age Retirement,07/2013,1996.0,2003.0,Head of Curriculum/Head of Special Education,,Central Office,Education Queensland,Permanent Full-time,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,,,,
626,Resignation-Other reasons,05/2013,2011.0,2011.0,Cleaner,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,,,,,
627,Resignation-Other reasons,05/2013,2010.0,2010.0,Public Servant,A01-A04,Central Office,Other,Permanent Part-time,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,26-30,,,,,
628,Ill Health Retirement,05/2013,2000.0,2000.0,Teacher Aide,,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,61 or older,,,,,
629,Age Retirement,04/2014,1976.0,2007.0,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,Yes
630,Age Retirement,09/2013,1991.0,1992.0,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,,,,
631,Age Retirement,12/2013,2007.0,2007.0,Cleaner,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,Female,61 or older,,,,,
632,Resignation-Other reasons,08/2013,2006.0,2008.0,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,Male,41-45,,,,Yes,
633,Contract Expired,08/2013,2012.0,2013.0,Teacher Aide,,Darling Downs South West,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
634,Ill Health Retirement,06/2013,1991.0,1991.0,Cleaner,,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,,
635,Age Retirement,08/2013,1982.0,1982.0,Cleaner,,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
636,Age Retirement,08/2013,1976.0,1979.0,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,Female,51-55,,,,,
637,Age Retirement,01/2014,2000.0,2000.0,Cleaner,,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
638,Resignation-Other reasons,09/2013,2013.0,2013.0,Teacher Aide,,Darling Downs South West,,Casual,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,36-40,,,,,
639,Age Retirement,07/2014,1972.0,1972.0,Teacher,Secondary,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,,,,,
640,Age Retirement,09/2013,1973.0,2004.0,Deputy Principal,,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,
641,Other,08/2013,2007.0,2007.0,Teacher Aide,,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,41-45,,,,,
642,Resignation-Move overseas/interstate,09/2013,2010.0,2010.0,"School Based Professional Staff (Therapist, nurse, etc)",,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,36-40,,,,,
643,Resignation-Move overseas/interstate,09/2013,2010.0,2010.0,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,31-35,,,,,Yes
644,Voluntary Early Retirement (VER),08/2013,1982.0,2009.0,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,Yes,,,
645,Voluntary Early Retirement (VER),10/2013,1976.0,2008.0,Teacher,Special Education,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
646,Age Retirement,12/2013,1993.0,1993.0,Cleaner,,,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
647,Age Retirement,09/2013,1981.0,1997.0,Public Servant,AO5-AO7,Central Office,Corporate Strategy and Peformance,Permanent Full-time,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,,,,Yes,
648,Resignation-Other reasons,09/2013,1992.0,1997.0,Technical Officer,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,51-55,,,,,
649,Other,10/2013,2010.0,2010.0,Cleaner,,,,Permanent Part-time,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,51-55,,,,,
650,Resignation-Other employer,09/2013,1995.0,2008.0,Teacher Aide,,South East,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,
651,Resignation-Other employer,10/2013,1996.0,2003.0,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,61 or older,,,,,
652,Resignation-Other reasons,09/2013,2010.0,2012.0,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,,,,,
653,Resignation-Move overseas/interstate,08/2013,1986.0,1993.0,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Female,61 or older,,,,,Yes
654,Age Retirement,09/2013,1970.0,2013.0,Teacher,,Central Office,Early Childhood Education and Care,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,,
655,Age Retirement,01/2014,1974.0,1995.0,Teacher,Special Education,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
656,Age Retirement,09/2013,1970.0,1994.0,School Principal,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,Male,56-60,,,,,
657,Other,10/2013,2011.0,2011.0,Teacher Aide,,,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,26-30,,,,,
658,Age Retirement,10/2013,1978.0,1978.0,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,Female,51-55,,,,,
659,Resignation-Move overseas/interstate,09/2013,1971.0,2002.0,Teacher,Secondary,Metropolitan,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,61 or older,,,,,
660,Resignation-Other reasons,08/2013,1998.0,,Teacher Aide,Primary,,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,Yes,,,,
661,Age Retirement,09/2013,,,Cleaner,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
662,Age Retirement,01/2014,1970.0,2010.0,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,61 or older,,,,,
663,Resignation-Other reasons,09/2013,,,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,46-50,,,,,
665,Voluntary Early Retirement (VER),06/2013,1969.0,,Public Servant,A01-A04,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,Female,61 or older,,,,,
666,Resignation-Other employer,01/2014,1999.0,2013.0,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,Male,46-50,,,,,
667,Age Retirement,07/2014,1991.0,2001.0,Teacher,Special Education,Darling Downs South West,,Permanent Full-time,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,Female,,,,,,
668,Resignation-Other employer,01/2014,2012.0,2013.0,Public Servant,A01-A04,Central Office,Information and Technologies,Temporary Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,,,,,
669,Resignation-Other reasons,12/2013,2011.0,2011.0,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,41-45,,,,,
670,Age Retirement,01/2014,1983.0,2002.0,Guidance Officer,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,61 or older,,,,,
671,Resignation-Move overseas/interstate,12/2013,2013.0,2013.0,"School Based Professional Staff (Therapist, nurse, etc)",,Metropolitan,,Temporary Full-time,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,,,,,
672,Resignation-Move overseas/interstate,12/2013,2013.0,2013.0,"School Based Professional Staff (Therapist, nurse, etc)",,Metropolitan,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,,,,,
673,Resignation-Other employer,12/2013,2009.0,2009.0,Teacher,Primary,North Coast,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,
674,Age Retirement,01/2014,1969.0,2001.0,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,Female,61 or older,,,,,
675,Contract Expired,12/2013,2012.0,2013.0,School Administrative Staff,,Metropolitan,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,
676,Age Retirement,11/2013,1991.0,1998.0,Cleaner,,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,51-55,,,,,
677,Voluntary Early Retirement (VER),09/2013,1988.0,1988.0,Public Servant,AO8 and Above,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
678,Resignation-Other employer,01/2014,2010.0,2011.0,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,26-30,,,,,
679,Ill Health Retirement,12/2013,1991.0,1991.0,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,,
680,Resignation-Move overseas/interstate,12/2013,2012.0,2012.0,,,Central Queensland,,Casual,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,36-40,,,,,
681,Age Retirement,12/2013,2001.0,2001.0,Cleaner,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,61 or older,,,,,
682,Contract Expired,12/2013,2013.0,2013.0,Public Servant,A01-A04,Central Office,Other,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,Yes,Yes,Yes,,
683,Age Retirement,04/2014,1978.0,1994.0,Teacher,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,51-55,,,,,
684,Resignation-Other employer,11/2013,1988.0,1991.0,Teacher,Secondary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,46-50,,,,,
685,Resignation-Other employer,,2011.0,2012.0,Teacher,Primary,Central Queensland,,Permanent Full-time,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Male,21-25,,,,,
686,Resignation-Other employer,11/2013,2004.0,2004.0,Schools Officer,,South East,,Permanent Full-time,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Female,46-50,,,,,
687,Resignation-Other employer,01/2014,1985.0,2010.0,Public Servant,AO8 and Above,Central Office,Corporate Strategy and Peformance,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,,,,,
688,Ill Health Retirement,12/2013,,,Teacher,Primary,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,56-60,,,,Yes,
689,Resignation-Other reasons,11/2013,2013.0,2013.0,Teacher Aide,,Darling Downs South West,,Permanent Part-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,
690,Age Retirement,12/2013,2002.0,2002.0,Other,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,,,
691,Age Retirement,,1975.0,1975.0,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
692,Resignation-Move overseas/interstate,01/2014,2004.0,2004.0,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,31-35,,,,,
693,Resignation-Other employer,01/2014,1998.0,2013.0,Teacher,,Darling Downs South West,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,
694,Resignation-Other reasons,12/2013,2012.0,2012.0,Teacher,Secondary,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,21-25,,,,,
695,Resignation-Move overseas/interstate,01/2014,2010.0,2010.0,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,41-45,,,,,
696,Resignation-Other reasons,,2012.0,,Teacher Aide,,Metropolitan,,Casual,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,46-50,,,,,
697,Age Retirement,10/2013,2011.0,2011.0,Teacher,Primary,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,61 or older,,,,,
698,Resignation-Move overseas/interstate,10/2013,2008.0,2008.0,Teacher Aide,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,26-30,Yes,,,,
699,Age Retirement,10/2013,1974.0,1989.0,School Administrative Staff,,North Coast,,Permanent Full-time,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,,,,,
700,Resignation-Other reasons,11/2013,2010.0,2010.0,Cleaner,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,,,,,
701,Age Retirement,,2006.0,2006.0,Schools Officer,,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,61 or older,,,,,
702,Resignation-Other employer,11/2013,2007.0,2013.0,Other,,Central Office,Information and Technologies,Casual,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,,,,,
703,Resignation-Other reasons,08/2013,1988.0,1988.0,Teacher,Primary,Central Queensland,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,
704,Other,09/2013,1998.0,2006.0,Cleaner,,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,,,,
705,Resignation-Move overseas/interstate,10/2013,2013.0,2013.0,Public Servant,A01-A04,Central Office,"Policy, Research, Legislation",Permanent Full-time,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,
706,Resignation-Other reasons,,2006.0,2007.0,Teacher Aide,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,41-45,,,,,
707,Age Retirement,11/2013,1984.0,,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,61 or older,,,,,
708,Age Retirement,12/2013,1976.0,1976.0,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,61 or older,,,,,
709,Ill Health Retirement,11/2013,2007.0,2008.0,Other,,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,41-45,,,,,Yes
710,Ill Health Retirement,,,,Cleaner,,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,,Yes,,,,
711,Resignation-Other employer,,,,Teacher,Primary,Central Office,Education Queensland,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,51-55,,,,,
712,Other,12/2013,1990.0,1990.0,Teacher Aide,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,Female,56-60,,,,,
713,Age Retirement,01/2014,1978.0,1978.0,Teacher,,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,61 or older,,,,,
714,Resignation-Other reasons,12/2013,,,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,61 or older,,,,,
715,Age Retirement,12/2013,1976.0,2001.0,Teacher,Special Education,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,,,,
716,Age Retirement,11/2013,1979.0,1979.0,Teacher,Primary,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56-60,,,,,
717,Contract Expired,12/2013,2010.0,2013.0,Teacher Aide,,North Queensland,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,
718,Resignation-Other reasons,12/2013,2000.0,2001.0,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,51-55,,,,,
719,Age Retirement,10/2013,1992.0,2003.0,Public Servant,A01-A04,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,Female,61 or older,,,,,
720,Contract Expired,,2013.0,2013.0,Technical Officer,,Central Office,Training and Tertiary Education Queensland,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41-45,,,,,
721,Contract Expired,09/2013,2013.0,2013.0,Public Servant,A01-A04,Central Office,Information and Technologies,Casual,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,Male,26-30,,,,,
722,Contract Expired,09/2013,2013.0,2013.0,Public Servant,A01-A04,Central Office,Information and Technologies,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,31-35,,,,,Yes
723,Contract Expired,09/2013,2013.0,2013.0,Public Servant,A01-A04,Central Office,Information and Technologies,Casual,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,Male,21-25,,,,,
724,Contract Expired,09/2013,2013.0,2013.0,Public Servant,A01-A04,Central Office,Information and Technologies,Casual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,51-55,,,,,
725,Contract Expired,09/2013,2013.0,2013.0,Public Servant,A01-A04,Central Office,Information and Technologies,Casual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,31-35,,,,,
726,Resignation-Other reasons,,1984.0,,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,46-50,,,,,
727,Contract Expired,,2013.0,2013.0,Public Servant,A01-A04,Metropolitan,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,26-30,,,,,
728,Resignation-Other employer,01/2014,1975.0,1987.0,Head of Curriculum/Head of Special Education,,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,Male,56-60,,,,,
729,Resignation-Other reasons,01/2014,1980.0,2003.0,Teacher,Secondary,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Female,51-55,,,,,
730,Age Retirement,01/2014,1975.0,2013.0,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,Female,56-60,,,,,
731,Age Retirement,,1978.0,2004.0,Deputy Principal,,North Coast,,Permanent Full-time,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,56-60,,,,,
732,Resignation-Other employer,12/2013,1999.0,1999.0,Teacher Aide,,,,Permanent Part-time,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,
733,Resignation-Other reasons,01/2014,1992.0,1997.0,Technical Officer,,Central Queensland,,Permanent Full-time,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,Male,56-60,,,,,
734,Age Retirement,01/2014,1969.0,1985.0,Head of Curriculum/Head of Special Education,,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,61 or older,,,,,
735,Age Retirement,,1976.0,1976.0,Teacher Aide,,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
736,Voluntary Early Retirement (VER),10/2013,1989.0,1989.0,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
737,Resignation-Move overseas/interstate,10/2013,2006.0,,Cleaner,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,Female,61 or older,,,,,
738,Age Retirement,10/2013,1999.0,2002.0,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,56-60,,,,,
739,Resignation-Other reasons,10/2013,1999.0,2004.0,Teacher,Special Education,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,56-60,,,,,
740,Ill Health Retirement,10/2013,1997.0,2000.0,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,61 or older,,,,,
741,Age Retirement,,1975.0,1999.0,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,56-60,,,,,
742,Age Retirement,,1985.0,1985.0,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,61 or older,,,,,
743,Contract Expired,01/2014,1983.0,2001.0,Teacher,Primary,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
744,Age Retirement,01/2014,1995.0,2003.0,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,51-55,,,,,
745,Age Retirement,09/2014,1986.0,2012.0,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
746,Resignation-Other employer,12/2013,1991.0,2004.0,Public Servant,A01-A04,Central Office,Information and Technologies,Permanent Full-time,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,
747,Age Retirement,,,,Guidance Officer,,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,56-60,,,,,
748,Age Retirement,01/2014,2003.0,2003.0,Teacher,Middle,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,Female,56-60,,,,,
749,Resignation-Move overseas/interstate,01/2014,2008.0,2008.0,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Female,41-45,,,,,
750,Age Retirement,12/2013,1996.0,1996.0,Teacher,Special Education,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
751,Voluntary Early Retirement (VER),,,,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,51-55,,,,,
752,Age Retirement,01/2014,1983.0,1983.0,Teacher,Primary,North Coast,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,61 or older,,,,,
753,Resignation-Other reasons,12/2013,2005.0,2005.0,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,61 or older,,,,,
754,Resignation-Other reasons,11/2013,1998.0,,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,Female,46-50,,,,Yes,
755,Resignation-Other employer,11/2013,2004.0,2011.0,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Female,31-35,,,,,
756,Age Retirement,,1988.0,2013.0,Public Servant,A01-A04,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,61 or older,,,,,
757,Resignation-Other employer,12/2013,2012.0,2013.0,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,41-45,,,,,
758,Age Retirement,11/2013,1970.0,2000.0,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,
